0,1,2,3,4
lineItemVoids,scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,lineItemVoidsPerPosition_0_1,interaction_9
totalScanTimeInSeconds,scansWithoutRegistration,scannedLineItemsPerSecond,lineItemVoidsPerPosition_0_1,heredity_1
totalScanTimeInSeconds,scansWithoutRegistration,interaction_1,scannedLineItemsPerSecond_0_1,interaction_7
totalScanTimeInSeconds,totalScanTimeInSeconds_0_1,lineItemVoids_0_1,scansWithoutRegistration_0_1,scannedLineItemsPerSecond_0_1
totalScanTimeInSeconds,scannedLineItemsPerSecond,totalScanTimeInSeconds_0_1,interaction_5,heredity_1
valuePerSecond,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,lineItemVoidsPerPosition_0_1,interaction_5
lineItemVoidsPerPosition,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,average_seconds_per_item_01,interaction_5
scansWithoutRegistration,interaction_1,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,lineItemVoidsPerPosition_0_1
totalScanTimeInSeconds,valuePerSecond,scansWithoutRegistration_0_1,scannedLineItemsPerSecond_0_1,interaction_9
totalScanTimeInSeconds,scansWithoutRegistration_0_1,scannedLineItemsPerSecond_0_1,valuePerSecond_0_1,interaction_9
totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_5,interaction_6,heredity_1
totalScanTimeInSeconds,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,lineItemVoidsPerPosition_0_1,interaction_5
totalScanTimeInSeconds,interaction_1,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_5
totalScanTimeInSeconds,interaction_1,lineItemVoids_0_1,scannedLineItemsPerSecond_0_1,lineItemVoidsPerPosition_0_1
totalScanTimeInSeconds,scannedLineItemsPerSecond,interaction_1,totalScanTimeInSeconds_0_1,scansWithoutRegistration_0_1
totalScanTimeInSeconds,scannedLineItemsPerSecond,interaction_1,interaction_6,interaction_7
lineItemVoids,interaction_1,totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,interaction_6
totalScanTimeInSeconds_0_1,scannedLineItemsPerSecond_0_1,lineItemVoidsPerPosition_0_1,interaction_5,interaction_9
