trustLevel,totalScanTimeInSeconds,grandTotal,lineItemVoids,scansWithoutRegistration,quantityModifications,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud,interaction_1,interaction_2,interaction_3,interaction_4,average_seconds_per_item,trustLevel_1,trustLevel_2,trustLevel_3,trustLevel_4,trustLevel_5,trustLevel_6,totalScanTimeInSeconds_0_1,grandTotal_0_1,lineItemVoids_0_1,scansWithoutRegistration_0_1,quantityModifications_0_1,scannedLineItemsPerSecond_0_1,valuePerSecond_0_1,lineItemVoidsPerPosition_0_1,average_seconds_per_item_01,Labels,Labels_0,Labels_1,Labels_2,Labels_3,Labels_4,Labels_5,interaction_5,interaction_6,interaction_7,interaction_8
5,1054,54.7,7,0,3,0.0275142314990512,0.0518975332068311,0.24137931034482799,0,0,0,0,1,19.27,0,0,0,0,1,0,0.5751776927282668,0.5471735867933969,0.6363636363636364,0.0,0.6000000000000001,0.004045275432427466,0.0013702337904120865,0.021943573667711637,0.00013061781343200546,1,0,1,0,0,0,0,0.0,0.00242716525945648,0.3147220411736761,0
3,108,27.36,5,2,4,0.12962962962963,0.253333333333333,0.3571428571428571,0,0,0,0,1,3.95,0,0,1,0,0,0,0.057955166757791145,0.2736368184092046,0.4545454545454546,0.2,0.8,0.019363844212461956,0.006689373907587497,0.032467532467532464,2.6612361156624814e-05,3,0,0,0,1,0,0,0.09090909090909093,0.015491075369969565,0.015858667441976868,0
3,1516,62.16,3,10,5,0.00857519788918206,0.0410026385224274,0.23076923076923103,0,0,0,0,1,24.39,0,0,1,0,0,0,0.8277747402952432,0.6218109054527264,0.2727272727272727,1.0,1.0,0.0012041868768192386,0.0010825417746342593,0.020979020979021004,0.00016537681575902563,5,0,0,0,0,0,1,0.2727272727272727,0.0012041868768192386,0.5147193607738807,0
6,1791,92.31,8,4,4,0.0161920714684534,0.0515410385259632,0.27586206896551696,0,0,0,0,1,19.4,0,0,0,0,0,1,0.9781301257517768,0.9234617308654329,0.7272727272727273,0.4,0.8,0.0023468118280894957,0.0013608201451843105,0.025078369905956088,0.00013150036622546494,2,0,0,1,0,0,0,0.29090909090909095,0.0018774494624715966,0.9032657389383594,0
5,430,81.53,3,7,2,0.0627906976744186,0.18960465116279102,0.111111111111111,0,0,0,0,1,5.27,0,0,0,0,1,0,0.23400765445598687,0.8156078039019512,0.2727272727272727,0.7000000000000001,0.4,0.009337180309818387,0.005006545980599492,0.010101010101010091,3.5573666444059694e-05,0,1,0,0,0,0,0,0.19090909090909092,0.0037348721239273547,0.1908584691470941,0
1,770,11.09,11,5,2,0.0337662337662338,0.0144025974025974,0.42307692307692296,1,1,0,0,0,69.43,1,0,0,0,0,0,0.419901585565883,0.11085542771385694,1.0,0.5,0.4,0.004983152858320682,0.00038013760541434985,0.03846153846153845,0.00047114741435453115,4,0,0,0,0,1,0,0.5,0.001993261143328273,0.046548369865632655,0
3,294,55.63,2,7,1,0.0374149659863946,0.18921768707482997,0.18181818181818202,0,0,0,0,1,5.28,0,0,1,0,0,0,0.1596500820120284,0.55647823911956,0.18181818181818182,0.7000000000000001,0.2,0.005530507679412289,0.004996327756217891,0.01652892561983473,3.564155512047966e-05,3,0,0,0,1,0,0,0.1272727272727273,0.001106101535882458,0.08884179651334691,0
2,1545,22.8,0,8,4,0.00647249190938511,0.0147572815533981,0.0,0,0,0,1,0,67.76,0,1,0,0,0,0,0.843630399125205,0.2280140070035018,0.0,0.8,0.8,0.0008887550539464467,0.00038950344154807336,0.0,0.0004598100053923976,5,0,0,0,0,0,1,0.0,0.0007110040431571574,0.1923595477345015,0
6,962,65.44,7,0,2,0.0280665280665281,0.068024948024948,0.25925925925925897,0,0,0,0,1,14.7,0,0,0,0,0,1,0.5248769819573537,0.6546273136568286,0.6363636363636364,0.0,0.4,0.004128126727244465,0.0017960964180656733,0.02356902356902354,9.959268830808316e-05,4,0,0,0,0,1,0,0.0,0.0016512506908977862,0.34359880869904613,0
2,725,41.08,10,2,4,0.0372413793103448,0.0566620689655172,0.37037037037037,0,0,0,1,0,17.65,0,1,0,0,0,0,0.39529797703663205,0.4109054527263632,0.9090909090909092,0.2,0.8,0.005504467537719201,0.0014960467455959637,0.03367003367003364,0.00011961984785197172,4,0,0,0,0,1,0,0.18181818181818185,0.004403574030175361,0.1624300942160528,0
